      Step     Time          Energy         fmax
BFGS:    0 13:50:24  -712760.951939       10.8232
BFGS:    1 13:50:47  -712759.708504       25.5521
BFGS:    2 13:51:05  -712760.971586       16.0810
BFGS:    3 13:51:31  -712759.096952       51.9992
BFGS:    4 13:51:49  -712761.961103        6.6217
BFGS:    5 13:52:10  -712762.101232        2.9686
BFGS:    6 13:52:30  -712762.233252        3.1757
BFGS:    7 13:52:51  -712762.310769        4.1054
BFGS:    8 13:53:14  -712762.589272        3.2602
BFGS:    9 13:53:35  -712762.652228        1.0690
BFGS:   10 13:53:57  -712762.660937        0.1075
BFGS:   11 13:54:18  -712762.661512        0.0277
BFGS:   12 13:54:39  -712762.661601        0.0130
BFGS:   13 13:54:59  -712762.661623        0.0024
BFGS:   14 13:55:19  -712762.661626        0.0001
