2Theta,Ortho,Tetrag
15.00453028,1811.977437	,1856.976877
15.03053028,1824.81797	,1788.631653
15.05653028,1782.866798	,1841.920836
15.08253028,1825.673154	,1905.107978
15.10853028,1851.020982	,1864.759768
15.13453028,1798.79083	,1854.45974
15.16053028,1723.533051	,1866.171793
15.18653028,1762.74742	,1794.431711
15.21253028,1875.56632	,1765.99734
15.23853028,1854.960273	,1841.422474
15.26453028,1844.806956	,1843.608513
15.29053028,1848.400431	,1808.203612
15.31653028,1767.968388	,1780.22802
15.34253028,1870.243533	,1804.884963
15.36853028,1832.764711	,1821.06825
15.39453028,1860.613682	,1816.203643
15.42053028,1872.834153	,1814.105864
15.44653028,1874.844736	,1819.000859
15.47253028,1884.048783	,1766.622332
15.49853028,1824.341001	,1832.10321
15.52453028,1755.506526	,1870.853951
15.55053028,1765.697634	,1872.778855
15.57653028,1804.062345	,1820.42129
15.60253028,1830.764013	,1806.784722
15.62853028,1792.586642	,1809.298551
15.65453028,1732.391627	,1806.253199
15.68053028,1729.626953	,1802.786816
15.70653028,1759.572496	,1810.732512
15.73253028,1770.457017	,1833.511637
15.75853028,1810.186812	,1826.055796
15.78453028,1790.895995	,1843.190315
15.81053028,1848.025092	,1830.855623
15.83653028,1771.431635	,1767.713848
15.86253028,1736.481212	,1833.808103
15.88853028,1765.217135	,1838.917397
15.91453028,1796.900081	,1860.787747
15.94053028,1846.581842	,1829.017043
15.96653028,1779.344664	,1805.27619
15.99253028,1802.766179	,1840.160376
16.01853028,1836.978641	,1883.534647
16.04453028,1793.826021	,1847.145444
16.07053028,1775.944711	,1813.606191
16.09653028,1793.428375	,1836.177937
16.12253028,1824.227712	,1842.265929
16.14853028,1812.837053	,1799.386603
16.17453028,1807.509999	,1789.723736
16.20053028,1790.661071	,1866.521742
16.22653028,1782.555487	,1901.403632
16.25253028,1841.529478	,1845.686705
16.27853028,1839.88109	,1772.018664
16.30453028,1812.610259	,1814.108312
16.33053028,1830.446848	,1861.36273
16.35653028,1803.58084	,1770.052884
16.38253028,1789.875241	,1757.116927
16.40853028,1843.51597	,1824.70018
16.43453028,1843.582237	,1837.738624
16.46053028,1801.901565	,1835.681212
16.48653028,1806.05383	,1826.841021
16.51253028,1779.448882	,1828.258079
16.53853028,1719.356077	,1823.648486
16.56453028,1741.572647	,1776.234609
16.59053028,1795.248973	,1771.435527
16.61653028,1803.80286	,1806.456222
16.64253028,1855.014521	,1760.511688
16.66853028,1829.916755	,1791.240284
16.69453028,1794.427306	,1825.977735
16.72053028,1774.596976	,1811.907032
16.74653028,1793.140976	,1816.403911
16.77253028,1827.303181	,1822.375668
16.79853028,1806.797267	,1799.266175
16.82453028,1822.34374	,1790.882657
16.85053028,1823.349962	,1748.424794
16.87653028,1783.156622	,1766.873666
16.90253028,1759.746298	,1771.545309
16.92853028,1708.650445	,1849.969852
16.95453028,1688.058473	,1811.060771
16.98053028,1730.894767	,1735.063011
17.00653028,1834.338476	,1695.585997
17.03253028,1795.553134	,1753.924399
17.05853028,1776.929126	,1766.099173
17.08453028,1790.258151	,1708.094012
17.11053028,1757.57626	,1704.005418
17.13653028,1808.826566	,1757.586637
17.16253028,1801.836203	,1809.837057
17.18853028,1763.685148	,1873.017177
17.21453028,1732.70174	,1831.919042
17.24053028,1811.413295	,1779.759091
17.26653028,1790.105894	,1804.928241
17.29253028,1883.047605	,1727.934355
17.31853028,1777.323699	,1806.505506
17.34453028,1758.831591	,1781.082754
17.37053028,1778.187371	,1788.750716
17.39653028,1819.628119	,1782.242934
17.42253028,1840.987344	,1839.253554
17.44853028,1771.504248	,1866.282727
17.47453028,1800.089198	,1869.074645
17.50053028,1712.17521	,1853.641443
17.52653028,1857.589219	,1809.802656
17.55253028,1895.639406	,1906.295883
17.57853028,1812.649885	,1880.907325
17.60453028,1847.756608	,1875.783323
17.63053028,1815.084043	,1973.80102
17.65653028,1828.844153	,1969.074445
17.68253028,1829.991127	,1862.409465
17.70853028,1800.969836	,1951.983693
17.73453028,1877.626612	,1917.644438
17.76053028,1945.354885	,1830.535995
17.78653028,1952.767127	,1906.706126
17.81253028,1927.019459	,1804.322067
17.83853028,1935.116862	,1790.5021
17.86453028,1843.342184	,1813.635018
17.89053028,1868.161111	,1727.048556
17.91653028,1806.248445	,1761.448088
17.94253028,1800.649283	,1811.831492
17.96853028,1801.881788	,1729.386697
17.99453028,1820.910259	,1709.9995
18.02053028,1840.860241	,1698.700323
18.04653028,1649.349517	,1749.873419
18.07253028,1704.876634	,1755.866846
18.09853028,1719.096926	,1722.243074
18.12453028,1765.762327	,1734.436023
18.15053028,1775.413916	,1751.003567
18.17653028,1726.064201	,1788.750221
18.20253028,1766.80309	,1799.572035
18.22853028,1849.74302	,1796.934247
18.25453028,1717.304272	,1744.350078
18.28053028,1705.628933	,1778.870495
18.30653028,1743.167006	,1753.10191
18.33253028,1697.997807	,1707.355434
18.35853028,1744.973312	,1721.212636
18.38453028,1761.071304	,1702.608449
18.41053028,1822.829854	,1749.827544
18.43653028,1782.67667	,1758.44627
18.46253028,1812.564012	,1770.062442
18.48853028,1794.752939	,1727.388987
18.51453028,1780.599497	,1758.156674
18.54053028,1756.91011	,1678.243567
18.56653028,1729.84069	,1671.261245
18.59253028,1733.734335	,1696.227946
18.61853028,1735.046143	,1684.079491
18.64453028,1703.301273	,1729.325538
18.67053028,1745.108082	,1728.959817
18.69653028,1781.466517	,1721.788354
18.72253028,1735.428	,1758.163254
18.74853028,1766.845838	,1753.021707
18.77453028,1760.128221	,1759.709618
18.80053028,1736.632135	,1745.2535
18.82653028,1792.617319	,1708.80856
18.85253028,1733.472289	,1713.236268
18.87853028,1704.7332	,1753.741654
18.90453028,1737.128062	,1754.918526
18.93053028,1712.984544	,1736.033232
18.95653028,1692.224857	,1740.045194
18.98253028,1697.324469	,1743.795327
19.00853028,1709.932432	,1761.340327
19.03453028,1658.577034	,1752.757206
19.06053028,1642.253448	,1726.982695
19.08653028,1716.732891	,1725.570191
19.11253028,1763.199693	,1737.547847
19.13853028,1684.699365	,1748.522105
19.16453028,1639.773714	,1752.972886
19.19053028,1727.522013	,1729.761384
19.21653028,1708.760407	,1660.589615
19.24253028,1724.875437	,1657.874957
19.26853028,1718.664292	,1700.123609
19.29453028,1713.02297	,1729.578291
19.32053028,1726.36533	,1711.123529
19.34653028,1671.450913	,1706.983387
19.37253028,1735.023267	,1701.348833
19.39853028,1708.427301	,1704.998201
19.42453028,1697.061315	,1754.947964
19.45053028,1717.677185	,1790.963003
19.47653028,1760.394694	,1749.160674
19.50253028,1686.649626	,1771.193917
19.52853028,1713.20061	,1734.393633
19.55453028,1712.948848	,1681.666148
19.58053028,1709.078313	,1713.336614
19.60653028,1730.95169	,1708.861628
19.63253028,1696.249286	,1717.89374
19.65853028,1777.730491	,1690.698844
